ID,Name,Prefecture ID,Created At,Updated At
1,北海道-札幌市,1,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
2,北海道-市部,1,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
3,青森県-市部,2,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
4,岩手県-市部,3,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
5,宮城県-仙台市,4,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
6,宮城県-市部,4,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
7,秋田県-市部,5,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
8,山形県-市部,6,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
9,福島県-市部,7,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
10,茨城県-市部,8,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
11,栃木県-市部,9,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
12,群馬県-市部,10,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
13,埼玉県-さいたま市,11,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
14,埼玉県-市部,11,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
15,千葉県-千葉市,12,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
16,千葉県-市部,12,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
17,東京都-23区,13,"2018/12/26, 10:01 AM","2019/2/27, 3:09 AM"
22,東京都-市部　その他,13,"2018/12/26, 10:01 AM","2019/2/27, 3:10 AM"
23,神奈川県-横浜市,14,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
24,神奈川県-川崎市,14,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
25,神奈川県-相模原市,14,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
26,神奈川県-市部,14,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
27,新潟県-新潟市,15,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
28,新潟県-市部,15,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
29,富山県-市部,16,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
30,石川県-市部,17,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
31,福井県-市部,18,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
32,山梨県-市部,19,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
33,長野県-市部,20,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
34,岐阜県-市部,21,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
35,静岡県-静岡市,22,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
36,静岡県-浜松市,22,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
37,静岡県-市部,22,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
38,愛知県-名古屋市,23,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
39,愛知県-市部,23,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
40,三重県-市部,24,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
41,滋賀県-市部,25,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
42,京都府-京都市,26,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
43,京都府-市部,26,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
44,大阪府-大阪市,27,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
45,大阪府-堺市,27,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
46,大阪府-市部,27,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
47,兵庫県-神戸市,28,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
48,兵庫県-市部,28,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
49,奈良県-市部,29,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
50,和歌山県-市部,30,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
51,鳥取県-市部,31,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
52,島根県-市部,32,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
53,岡山県-岡山市,33,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
54,岡山県-市部,33,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
55,広島県-広島市,34,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
56,広島県-市部,34,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
57,山口県-市部,35,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
58,徳島県-市部,36,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
59,香川県-市部,37,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
60,愛媛県-市部,38,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
61,高知県-市部,39,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
62,福岡県-北九州市,40,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
63,福岡県-福岡市,40,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
64,福岡県-市部,40,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
65,佐賀県-市部,41,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
66,長崎県-市部,42,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
67,熊本県-熊本市,43,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
68,熊本県-市部,43,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
69,大分県-市部,44,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
70,宮崎県-市部,45,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
71,鹿児島県-市部,46,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
72,沖縄県-市部,47,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
